ID row col Width ALBST
L6_1110 167.0105091 144.4600281 0.001697006 -1
L6_1111 170.6543748 138.8499299 -0.002028144 -0.99744
L6_1169 170.0470639 150.4207574 0.004910998 -0.9968
L6_1170 173.6909295 144.8106592 0.001175583 -0.99552
L6_1171 177.3347952 139.200561 -0.002441063 -0.99296
L6_1230 176.7274842 150.7713885 0.004571232 -0.99168
L6_1231 180.3713499 145.1612903 0.0007803 -0.99104
L6_1232 184.0152155 139.5511921 -0.002920431 -0.98848
L6_1293 183.4079046 151.1220196 0.003936375 -0.98784
L6_1294 187.0517702 145.5119215 -0.000314123 -0.98592
L6_1295 190.6956359 139.9018233 -0.003928144 -0.98336
L6_1357 190.088325 151.4726508 0.002921357 -0.98272
L6_1358 193.7321906 145.8625526 -0.000747872 -0.9808
L6_1423 196.7687453 151.8232819 0.002451372 -0.97888
L6_1424 200.412611 146.2131837 -0.001173656 -0.97632
L6_1490 203.4491657 152.173913 0.002686727 -0.9744
L6_1491 207.0930313 146.5638149 -0.000921085 -0.9712
L6_1558 210.1295861 152.5245442 0.00201084 -0.968
L6_1559 213.7734517 146.914446 -0.00198007 -0.96672
L6_1628 216.8100064 152.8751753 0.001421372 -0.96352
L6_1629 220.4538721 147.2650771 -0.002407936 -0.96224
L6_1699 223.4904268 153.2258065 0.000844975 -0.96032
L6_1700 227.1342924 147.6157083 -0.002807263 -0.95648
L6_1771 226.5269815 159.1865358 0.004264007 -0.9552
L6_1772 230.1708471 153.5764376 0.000384783 -0.95456
L6_1773 233.8147128 147.9663394 -0.003690994 -0.95392
L6_1845 233.2074019 159.5371669 0.003122209 -0.95136
L6_1846 236.8512675 153.9270687 0.000693242 -0.95008
L6_1921 239.8878222 159.887798 0.002489226 -0.94752
L6_1922 243.5316879 154.2776999 -0.001475111 -0.94624
L6_1998 246.5682426 160.2384292 0.002090934 -0.9424
L6_1999 250.2121082 154.628331 -0.002075637 -0.94176
L6_2077 253.248663 160.5890603 0.001029375 -0.93856
L6_2078 256.8925286 154.9789621 -0.002574383 -0.93536
L6_2156 256.2852177 166.5497896 0.004537676 -0.93408
L6_2157 259.9290833 160.9396914 0.000603113 -0.93344
L6_2158 263.572949 155.3295933 -0.003154029 -0.93216
