ID row col Width ALBST
L6_4280 283.0068991 359.3969144 -0.001402511 0.195307108
L6_4281 286.6507648 353.7868163 -0.000871256 0.198067633
L6_4282 290.2946304 348.1767181 0.000237104 0.202898551
L6_4283 293.9384961 342.5666199 -0.000393339 0.207729469
L6_4284 297.5823617 336.9565217 0.000289783 0.211870255
L6_4285 301.2262274 331.3464236 -0.00047731 0.216011042
L6_4286 304.8700931 325.7363254 0.000800735 0.221532091
L6_4287 308.5139587 320.1262272 -0.000690033 0.226363009
L6_4292 326.733287 292.0757363 -0.00066389 0.249827467
L6_4293 330.3771526 286.4656381 -0.00114283 0.253968254
L6_4390 267.8241256 393.4081346 -0.000859 0.169082126
L6_4391 271.4679912 387.7980365 -0.000392722 0.173222912
L6_4392 275.1118569 382.1879383 0.000150937 0.17805383
L6_4393 278.7557225 376.5778401 0.000656538 0.182884748
L6_4394 282.3995882 370.9677419 0.000722563 0.187715666
L6_4395 286.0434538 365.3576438 0.001431687 0.191166322
L6_4396 289.6873195 359.7475456 0.00281606 0.195997239
L6_4397 293.3311852 354.1374474 0.003680439 0.198757764
L6_4398 296.9750508 348.5273492 0.003851069 0.204968944
L6_4399 300.6189165 342.9172511 0.00377021 0.209799862
L6_4400 304.2627821 337.3071529 0.00372342 0.21463078
L6_4401 307.9066478 331.6970547 0.003276197 0.218771567
L6_4402 311.5505134 326.0869565 0.002842262 0.223602484
L6_4403 315.1943791 320.4768583 0.002789606 0.229123533
L6_4404 318.8382447 314.8667602 0.002344458 0.23326432
L6_4405 322.4821104 309.256662 0.002315119 0.238785369
L6_4406 326.125976 303.6465638 0.002438312 0.242926156
L6_4407 329.7698417 298.0364656 0.002698224 0.247066943
L6_4408 333.4137073 292.4263675 0.002890377 0.252587992
L6_4409 337.057573 286.8162693 0.001894085 0.25741891
L6_4410 340.7014387 281.2061711 0.000962941 0.262249827
L6_4502 256.2852177 421.8092567 -0.000510556 0.147688061
L6_4503 259.9290833 416.1991585 0.000655755 0.151828847
L6_4504 263.572949 410.5890603 0.001159166 0.155969634
L6_4505 267.2168146 404.9789621 0.001529962 0.160110421
L6_4506 270.8606803 399.368864 0.00256326 0.16563147
L6_4507 274.5045459 393.7587658 0.003337281 0.169772257
L6_4508 278.1484116 388.1486676 0.003224182 0.175293306
L6_4509 281.7922772 382.5385694 0.004364489 0.179434092
L6_4510 285.4361429 376.9284712 0.00426139 0.184955141
L6_4511 289.0800086 371.3183731 0.004970124 0.187715666
L6_4527 347.381859 281.5568022 0.002468766 0.267770876
L6_4528 351.0257247 275.9467041 -4.08416E-05 0.271221532
L6_4529 354.6695903 270.3366059 -0.002689781 0.275362319
L6_4616 248.3901754 444.6002805 -0.001053688 0.130434783
L6_4617 252.0340411 438.9901823 2.44503E-05 0.1352657
L6_4618 255.6779067 433.3800842 0.000536362 0.140096618
L6_4619 259.3217724 427.769986 0.002297948 0.143547274
L6_4620 262.965638 422.1598878 0.003737089 0.149068323
L6_4646 357.706145 276.2973352 0.001479202 0.274672188
L6_4647 361.3500107 270.687237 -0.000497807 0.280193237
L6_4648 364.9938763 265.0771388 -0.002446576 0.284334023
L6_4733 244.1389988 461.7812062 0.000178891 0.118702553
L6_4734 247.7828645 456.171108 0.001924168 0.12284334
L6_4735 251.4267301 450.5610098 0.002598711 0.127674258
L6_4736 255.0705958 444.9509116 0.00349954 0.131124914
L6_4765 360.7426998 282.2580645 0.005983588 0.274672188
L6_4766 364.3865654 276.6479663 0.003605847 0.279503106
L6_4767 368.0304311 271.0378682 0.001575963 0.283643892
L6_4768 371.6742967 265.42777 -0.000454403 0.287784679
L6_4769 375.3181624 259.8176718 -0.00190145 0.292615597
L6_4792 459.1270724 130.7854137 0.000172111 -1
L6_4852 243.5316879 473.3520337 0.000440074 0.111111111
L6_4853 247.1755535 467.7419355 0.002198773 0.114561767
L6_4854 250.8194192 462.1318373 0.004277164 0.120082816
L6_4888 374.7108514 271.3884993 0.004162849 0.287784679
L6_4889 378.3547171 265.7784011 0.002513461 0.291925466
L6_4890 381.9985827 260.1683029 0.000116155 0.296756384
L6_4912 462.1636271 136.7461431 0.000773516 -0.994478951
L6_4973 239.8878222 478.9621318 -8.17095E-05 0.106280193
L6_4974 246.5682426 479.312763 0.003894397 0.108350587
L6_5013 388.6790031 260.5189341 0.002089181 0.300207039
L6_5014 392.3228688 254.9088359 -0.00078532 0.304347826
L6_5034 465.2001818 142.7068724 0.002243351 -0.989648033
L6_5035 468.8440475 137.0967742 -0.002086564 -0.988957902
L6_5096 242.9243769 484.9228612 0.002018906 0.102139406
L6_5137 395.3594235 260.8695652 0.003734339 0.305037957
L6_5138 399.0032891 255.259467 0.000179081 0.309178744
L6_5158 471.8806022 143.0575035 0.000609025 -0.986197378
L6_5220 239.2805113 490.5329593 0.000375988 0.097308489
L6_5263 402.0398438 261.2201964 0.004292839 0.311249137
L6_5264 405.6837095 255.6100982 0.000474266 0.314009662
L6_5265 409.3275751 250 -0.002769766 0.316770186
L6_5283 474.9171569 149.0182328 0.001580658 -0.98136646
L6_5284 478.5610226 143.4081346 -0.003039606 -0.982056591
L6_5345 235.6366456 496.1430575 -0.000269498 0.093857833
L6_5346 242.317066 496.4936886 0.003811517 0.094547964
L6_5391 412.3641299 255.9607293 0.001376297 0.31884058
